instance,acacia_result,acacia_seconds,acacia_exit,ltlsynt_result,ltlsynt_seconds,ltlsynt_exit,ltlsynt_comparison
gf-unreal2.tlsf,UNREALIZABLE,0.016,1,UNREALIZABLE,0.011,1,LTLSYNT_FASTER
gf-unreal20.tlsf,UNREALIZABLE,0.015,1,UNREALIZABLE,0.015,1,
gf-unreal21.tlsf,UNREALIZABLE,0.021,1,UNREALIZABLE,0.024,1,
gf-unreal22.tlsf,UNREALIZABLE,0.022,1,UNREALIZABLE,0.023,1,
gf-unreal23.tlsf,UNREALIZABLE,0.021,1,UNREALIZABLE,0.022,1,
gf-unreal24.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.025,1,
gf-unreal25.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
gf-unreal26.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.025,1,
gf-unreal27.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
gf-unreal28.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.022,1,LTLSYNT_FASTER
gf-unreal29.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.022,1,LTLSYNT_FASTER
gf-unreal3.tlsf,UNREALIZABLE,0.017,1,UNREALIZABLE,0.011,1,LTLSYNT_FASTER
gf-unreal30.tlsf,UNREALIZABLE,0.017,1,UNREALIZABLE,0.026,1,
gf-unreal31.tlsf,UNREALIZABLE,0.026,1,UNREALIZABLE,0.026,1,
gf-unreal32.tlsf,UNREALIZABLE,0.025,1,UNREALIZABLE,0.028,1,
gf-unreal33.tlsf,UNREALIZABLE,0.031,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
gf-unreal34.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.03,1,
gf-unreal35.tlsf,UNREALIZABLE,0.025,1,UNREALIZABLE,0.025,1,
gf-unreal36.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.029,1,
gf-unreal37.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.029,1,
gf-unreal38.tlsf,UNREALIZABLE,0.026,1,UNREALIZABLE,0.03,1,
gf-unreal39.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.031,1,
gf-unreal4.tlsf,UNREALIZABLE,0.017,1,UNREALIZABLE,0.012,1,LTLSYNT_FASTER
gf-unreal40.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.032,1,
gf-unreal41.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.031,1,
gf-unreal42.tlsf,UNREALIZABLE,0.026,1,UNREALIZABLE,0.034,1,
gf-unreal43.tlsf,UNREALIZABLE,0.036,1,UNREALIZABLE,0.029,1,LTLSYNT_FASTER
gf-unreal44.tlsf,UNREALIZABLE,0.028,1,UNREALIZABLE,0.029,1,
gf-unreal45.tlsf,UNREALIZABLE,0.029,1,UNREALIZABLE,0.031,1,
gf-unreal46.tlsf,UNREALIZABLE,0.031,1,UNREALIZABLE,0.032,1,
gf-unreal47.tlsf,UNREALIZABLE,0.033,1,UNREALIZABLE,0.032,1,LTLSYNT_FASTER
gf-unreal5.tlsf,UNREALIZABLE,0.016,1,UNREALIZABLE,0.021,1,
gf-unreal6.tlsf,UNREALIZABLE,0.018,1,UNREALIZABLE,0.013,1,LTLSYNT_FASTER
gf-unreal7.tlsf,UNREALIZABLE,0.025,1,UNREALIZABLE,0.021,1,LTLSYNT_FASTER
gf-unreal8.tlsf,UNREALIZABLE,0.021,1,UNREALIZABLE,0.012,1,LTLSYNT_FASTER
gf-unreal9.tlsf,UNREALIZABLE,0.012,1,UNREALIZABLE,0.013,1,
heim-buechi-real.tlsf,REALIZABLE,1.79,0,REALIZABLE,0.029,0,LTLSYNT_FASTER
heim-double-x-real.tlsf,TIMEOUT,17.082,124,REALIZABLE,0.032,0,SOLVED_ONLY_BY_LTLSYNT
heim-double-x0.tlsf,UNREALIZABLE,0.245,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
heim-double-x1.tlsf,UNREALIZABLE,2.78,1,UNREALIZABLE,0.03,1,LTLSYNT_FASTER
heim-double-x10.tlsf,TIMEOUT,17.072,124,UNREALIZABLE,0.029,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x11.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.035,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x12.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x13.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x2.tlsf,UNREALIZABLE,2.78,1,UNREALIZABLE,0.021,1,LTLSYNT_FASTER
heim-double-x3.tlsf,UNREALIZABLE,6.967,1,UNREALIZABLE,0.021,1,LTLSYNT_FASTER
heim-double-x4.tlsf,TIMEOUT,17.033,124,UNREALIZABLE,0.025,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x5.tlsf,TIMEOUT,17.029,124,UNREALIZABLE,0.023,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x6.tlsf,TIMEOUT,17.027,124,UNREALIZABLE,0.024,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x7.tlsf,TIMEOUT,17.023,124,UNREALIZABLE,0.026,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x8.tlsf,TIMEOUT,17.049,124,UNREALIZABLE,0.025,1,SOLVED_ONLY_BY_LTLSYNT
heim-double-x9.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.027,1,SOLVED_ONLY_BY_LTLSYNT
heim-fig7-unreal.tlsf,UNREALIZABLE,0.035,1,UNREALIZABLE,0.019,1,LTLSYNT_FASTER
helipad-contradict0.tlsf,TIMEOUT,17.081,124,ERROR,5.66,-6,
helipad-contradict1.tlsf,TIMEOUT,17.05,124,ERROR,9.008,-6,
helipad-real.tlsf,TIMEOUT,17.082,124,REALIZABLE,0.747,0,SOLVED_ONLY_BY_LTLSYNT
infinite-race-real.tlsf,REALIZABLE,0.02,0,REALIZABLE,0.018,0,LTLSYNT_FASTER
infinite-race-u0.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
infinite-race-u1.tlsf,UNREALIZABLE,0.026,1,UNREALIZABLE,0.018,1,LTLSYNT_FASTER
infinite-race-u10.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.054,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u11.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.054,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u12.tlsf,TIMEOUT,17.074,124,UNREALIZABLE,0.06,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u13.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.062,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u14.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.069,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u15.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.072,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u16.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.083,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u17.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.081,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u18.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.082,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u19.tlsf,TIMEOUT,17.08,124,UNREALIZABLE,0.088,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u2.tlsf,UNREALIZABLE,4.013,1,UNREALIZABLE,0.029,1,LTLSYNT_FASTER
infinite-race-u20.tlsf,TIMEOUT,17.068,124,UNREALIZABLE,0.088,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u21.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.093,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u22.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.095,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u23.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.098,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u24.tlsf,TIMEOUT,17.132,124,UNREALIZABLE,0.103,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u25.tlsf,TIMEOUT,17.132,124,UNREALIZABLE,0.108,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u3.tlsf,UNREALIZABLE,3.278,1,UNREALIZABLE,0.029,1,LTLSYNT_FASTER
infinite-race-u4.tlsf,TIMEOUT,17.049,124,UNREALIZABLE,0.041,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u5.tlsf,TIMEOUT,17.049,124,UNREALIZABLE,0.037,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u6.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.039,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u7.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.041,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u8.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.052,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-u9.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.049,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-unequal-1-real.tlsf,REALIZABLE,0.175,0,REALIZABLE,0.026,0,LTLSYNT_FASTER
infinite-race-unequal-10.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.018,1,LTLSYNT_FASTER
infinite-race-unequal-20.tlsf,UNREALIZABLE,0.022,1,UNREALIZABLE,0.017,1,LTLSYNT_FASTER
infinite-race-unequal-21.tlsf,UNREALIZABLE,0.292,1,UNREALIZABLE,0.024,1,LTLSYNT_FASTER
infinite-race-unequal-22.tlsf,UNREALIZABLE,2.462,1,UNREALIZABLE,0.028,1,LTLSYNT_FASTER
infinite-race-unequal-23.tlsf,TIMEOUT,17.049,124,UNREALIZABLE,0.041,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-unequal-24.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.052,1,SOLVED_ONLY_BY_LTLSYNT
infinite-race-unequal-25.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.447,1,SOLVED_ONLY_BY_LTLSYNT
