id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
GF-G-contradiction5.ltl	no	0.081871	unsupported_or_failed	no	0.081469	unsupported_or_failed
GF-G-contradiction6.ltl	no	0.088230	unsupported_or_failed	no	0.085215	unsupported_or_failed
GF-G-contradiction7.ltl	no	0.086537	unsupported_or_failed	no	0.092467	unsupported_or_failed
Gamelogic.ltl	yes	0.079355		yes	0.076360	
GamemodeChooser.ltl	yes	0.194394		yes	0.234912	
Gamemodule.ltl	yes	0.124935		yes	0.120824	
HeatingMin_d6c5ac79.ltl	yes	0.083270		yes	0.069644	
Heating_235467da.ltl	no	0.068761	unsupported_or_failed	no	0.070670	unsupported_or_failed
Heating_974f4a68.ltl	no	0.112942	unsupported_or_failed	no	0.110568	unsupported_or_failed
Heating_b02056d6.ltl	no	0.065850	unsupported_or_failed	no	0.070663	unsupported_or_failed
Heating_b209ff21.ltl	no	0.067488	unsupported_or_failed	no	0.066849	unsupported_or_failed
Increment.ltl	yes	0.062025		yes	0.062183	
IntendDemo_42dc4fff.ltl	no	0.853698	budget_exhausted	no	1.004621	budget_exhausted
KitchenTimerV0.ltl	yes	0.061980		yes	0.062982	
KitchenTimerV1.ltl	yes	0.066897		yes	0.066008	
KitchenTimerV10.ltl	yes	0.147666		yes	0.149154	
KitchenTimerV2.ltl	yes	0.084307		yes	0.086640	
KitchenTimerV3.ltl	yes	0.106911		yes	0.109306	
KitchenTimerV4.ltl	yes	0.114525		yes	0.117487	
KitchenTimerV5.ltl	yes	0.132989		yes	0.132974	
KitchenTimerV6.ltl	yes	0.139005		yes	0.138367	
KitchenTimerV7.ltl	yes	0.139189		yes	0.142702	
KitchenTimerV8.ltl	yes	0.140965		yes	0.147729	
KitchenTimerV9.ltl	yes	0.145007		yes	0.147310	
LampController_974f4a68.ltl	no	0.249824	unsupported_or_failed	no	0.252995	unsupported_or_failed
LedMatrix.ltl	no	0.855518	budget_exhausted	no	1.032012	budget_exhausted
Light_a50cadd7.ltl	no	0.122233	unsupported_or_failed	no	0.091615	unsupported_or_failed
Light_aeb1d897.ltl	no	0.864655	budget_exhausted	no	1.014752	budget_exhausted
Light_d65ed84e.ltl	no	0.793842	unsupported_or_failed	no	0.837999	unsupported_or_failed
Lights2Min_9cbf2546.ltl	no	0.092194	unsupported_or_failed	no	0.094560	unsupported_or_failed
Lights2_06e9cad4.ltl	no	0.853421	budget_exhausted	no	1.003620	budget_exhausted
Lights2_0f5381e9.ltl	no	0.854143	budget_exhausted	no	1.007141	budget_exhausted
Lights2_2c5b09da.ltl	no	0.855890	budget_exhausted	no	1.004980	budget_exhausted
Lights2_9cac58d3.ltl	no	0.856653	budget_exhausted	no	1.011536	budget_exhausted
Lights2_b02056d6.ltl	no	0.854978	budget_exhausted	no	1.005913	budget_exhausted
Lights2_f1477cc5.ltl	no	0.854727	budget_exhausted	no	1.007609	budget_exhausted
Lights2_f3987563.ltl	no	0.858701	budget_exhausted	no	1.011143	budget_exhausted
Lights3Min_6479ef9a.ltl	no	0.063993	unsupported_or_failed	no	0.068465	unsupported_or_failed
Lights3_06e9cad4.ltl	no	0.861847	budget_exhausted	no	1.008337	budget_exhausted
Lights3_235467da.ltl	no	0.787357	unsupported_or_failed	no	0.880488	unsupported_or_failed
Lights3_2c5b09da.ltl	no	0.859548	budget_exhausted	no	1.010426	budget_exhausted
Lights3_3916ec59.ltl	no	0.913008	budget_exhausted	no	1.008872	budget_exhausted
Lights3_6bea956e.ltl	no	0.200626	unsupported_or_failed	no	0.203737	unsupported_or_failed
Lights3_f1477cc5.ltl	no	0.855013	budget_exhausted	no	0.833885	unsupported_or_failed
LightsMin_6bea956e.ltl	no	0.076417	unsupported_or_failed	no	0.074541	unsupported_or_failed
LightsTotal_06e9cad4.ltl	no	0.853764	budget_exhausted	no	1.003140	budget_exhausted
LightsTotal_2c5b09da.ltl	no	0.853341	budget_exhausted	no	1.004710	budget_exhausted
LightsTotal_9cbf2546.ltl	no	0.853895	budget_exhausted	no	1.004348	budget_exhausted
LightsTotal_d65ed84e.ltl	no	0.853068	budget_exhausted	no	1.005072	budget_exhausted
Lights_06e9cad4.ltl	no	0.857410	budget_exhausted	no	1.005826	budget_exhausted
Lights_2c5b09da.ltl	no	0.857371	budget_exhausted	no	1.007478	budget_exhausted
Lights_3461125b.ltl	no	0.148180	unsupported_or_failed	no	0.143974	unsupported_or_failed
Lights_9cac58d3.ltl	no	0.473396	unsupported_or_failed	no	0.470168	unsupported_or_failed
Lights_b0840146.ltl	no	0.855782	budget_exhausted	no	1.006239	budget_exhausted
Lights_f3987563.ltl	no	0.476306	unsupported_or_failed	no	0.493328	unsupported_or_failed
ModdifiedLedMatrix4X.ltl	no	0.854279	budget_exhausted	no	1.003841	budget_exhausted
ModdifiedLedMatrix5X.ltl	no	0.855617	budget_exhausted	no	1.004138	budget_exhausted
Morning2Min_6cbc6174.ltl	yes	0.070907		yes	0.121593	
Morning2_06e9cad4.ltl	no	0.853612	budget_exhausted	no	1.004592	budget_exhausted
Morning2_1cf58fc1.ltl	no	0.853839	budget_exhausted	no	1.003709	budget_exhausted
Morning2_2c5b09da.ltl	no	0.853822	budget_exhausted	no	1.003735	budget_exhausted
Morning2_407db2cc.ltl	no	0.853544	budget_exhausted	no	1.004028	budget_exhausted
Morning2_4d4ca5c4.ltl	yes	0.073287		yes	0.073526	
Morning2_63831f8c.ltl	no	0.853612	budget_exhausted	no	1.006091	budget_exhausted
Morning2_68c86764.ltl	no	0.853531	budget_exhausted	no	1.004700	budget_exhausted
Morning2_9cac58d3.ltl	yes	0.072773		yes	0.074763	
Morning2_d65ed84e.ltl	no	0.852674	budget_exhausted	no	1.003790	budget_exhausted
Morning2s_06cf2373.ltl	no	0.853075	budget_exhausted	no	1.003660	budget_exhausted
Morning2s_06e9cad4.ltl	no	0.853437	budget_exhausted	no	1.003073	budget_exhausted
Morning2s_2c5b09da.ltl	no	0.853469	budget_exhausted	no	1.003597	budget_exhausted
Morning2s_42dc4fff.ltl	no	0.853883	budget_exhausted	no	1.005922	budget_exhausted
Morning2s_9cbf2546.ltl	no	0.853628	budget_exhausted	no	1.003858	budget_exhausted
Morning2s_d6c5ac79.ltl	no	0.853698	budget_exhausted	no	1.003700	budget_exhausted
MorningMin_d6c5ac79.ltl	no	0.818434	unsupported_or_failed	no	1.021131	budget_exhausted
Morning_14a3b3a2.ltl	no	0.853564	budget_exhausted	no	1.002992	budget_exhausted
Morning_4b5e6eaa.ltl	no	0.852722	budget_exhausted	no	1.003699	budget_exhausted
Morning_88c5c1c3.ltl	no	0.856778	budget_exhausted	no	1.006144	budget_exhausted
Morning_9cac58d3.ltl	no	0.853359	budget_exhausted	no	1.003589	budget_exhausted
Morning_c92eb242.ltl	no	0.853282	budget_exhausted	no	1.004277	budget_exhausted
Morning_f1477cc5.ltl	no	0.854587	budget_exhausted	no	1.004364	budget_exhausted
Morning_f2774e0b.ltl	no	0.853836	budget_exhausted	no	1.003027	budget_exhausted
MusicAppFeedback.ltl	yes	0.076344		yes	0.081609	
MusicAppMotivating.ltl	yes	0.082201		yes	0.081846	
MusicAppSimple.ltl	yes	0.071498		yes	0.072730	
OneCounter.ltl	no	0.854907	budget_exhausted	no	1.005243	budget_exhausted
OneCounterGui.ltl	yes	0.140615		yes	0.132531	
OneCounterGuiA1.ltl	yes	0.262813		yes	0.256972	
OneCounterGuiA2.ltl	yes	0.348876		yes	0.347652	
OneCounterGuiA3.ltl	yes	0.542819		yes	0.545671	
OneCounterGuiA4.ltl	yes	0.621788		yes	0.608284	
OneCounterGuiA5.ltl	yes	0.676239		yes	0.676112	
OneCounterGuiA6.ltl	no	0.854220	budget_exhausted	yes	0.935801	
OneCounterGuiA7.ltl	no	0.854460	budget_exhausted	no	1.003952	budget_exhausted
OneCounterGuiA8.ltl	no	0.855045	budget_exhausted	no	1.004279	budget_exhausted
OneCounterInRange.ltl	yes	0.065785		yes	0.069100	
OneCounterInRangeA1.ltl	yes	0.071055		yes	0.068432	
OneCounterInRangeA2.ltl	yes	0.069137		yes	0.074873	
OneCounterInRangeA3.ltl	yes	0.072608		yes	0.068177	
PlugController_fa4d4ce3.ltl	no	0.137912	unsupported_or_failed	no	0.142557	unsupported_or_failed
Radarboard.ltl	yes	0.074340		yes	0.079180	
RegManager.ltl	yes	0.066574		yes	0.069772	
Room_a50cadd7.ltl	yes	0.067462		yes	0.067123	
