index	instance	family_key	label	build	expected	result	seconds	fallback_logged
252	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.30729960004100576	False
253	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	0.3025400150218047	False
254	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	0.2865465760114603	False
255	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.09101696597645	False
256	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.24952496599871665	False
257	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.093137927004136	False
258	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.22874920204048976	False
259	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.2595626980182715	False
260	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.3436882219975814	False
261	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	0.3179421759559773	False
262	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	0.3336291519808583	False
263	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.091659609985072	False
264	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.3043249190086499	False
265	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.09330383397173	False
266	robot-resource-2d5.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.24271949497051537	False
267	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.2511905590072274	False
268	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.40744036401156336	False
269	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	0.38932502403622493	False
270	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	0.38822600804269314	False
271	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.089842417044565	False
272	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.35630175803089514	False
273	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.09301561495522	False
274	robot-resource-2d6.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.25183799397200346	False
275	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.2873854250065051	False
276	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.4764181199716404	False
277	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	0.5386111990083009	False
278	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	0.5139488090062514	False
279	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.088268827006686	False
280	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.38640513201244175	False
281	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.093311899981927	False
282	robot-resource-2d7.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.24014568200800568	False
283	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.5507675859844312	False
284	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	1.1943132669548504	False
