pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
485264480,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqreallar,359217,complete,30.6537,30.6566,617712.0,REALIZABLE,-,realizable
485264481,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqrealsd,359218,complete,30.6732,30.6726,563948.0,REALIZABLE,-,realizable
485264482,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqrealds,359219,complete,30.4357,30.4378,563948.0,REALIZABLE,-,realizable
485264483,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,4.86022,4.78018,833104.0,REALIZABLE,-,realizable
485264484,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,4.46846,4.41567,833104.0,REALIZABLE,-,realizable
485264485,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,4.4726,4.47618,833104.0,REALIZABLE,-,realizable
485264486,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,4.79894,4.80056,833104.0,REALIZABLE,-,realizable
485263948,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,ltlsynt realizability,29005,seqreallar,359217,complete,0.055783,0.0555351,113188.0,REALIZABLE,-,realizable
485263949,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,ltlsynt realizability,29005,seqrealsd,359218,complete,0.054935,0.054723,113188.0,REALIZABLE,-,realizable
485263950,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,ltlsynt realizability,29005,seqrealds,359219,complete,0.05716,0.0569961,113188.0,REALIZABLE,-,realizable
485263951,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.105793,0.107661,113188.0,REALIZABLE,-,realizable
485263952,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.103558,0.104108,113188.0,REALIZABLE,-,realizable
485263953,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.10453,0.105893,113188.0,REALIZABLE,-,realizable
485263954,LTL-Real/amba_decomposed_encode_2.tlsf,9158631,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.103386,0.106525,113188.0,REALIZABLE,-,realizable
485263283,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,ltlsynt realizability,29005,seqreallar,359217,complete,0.060614,0.0604029,113188.0,REALIZABLE,-,realizable
485263284,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,ltlsynt realizability,29005,seqrealsd,359218,complete,0.060499,0.0602889,113188.0,REALIZABLE,-,realizable
485263285,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,ltlsynt realizability,29005,seqrealds,359219,complete,0.060543,0.0602991,113188.0,REALIZABLE,-,realizable
485263286,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.159062,0.158012,113188.0,REALIZABLE,-,realizable
485263287,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.1605,0.160952,113188.0,REALIZABLE,-,realizable
485263288,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.154534,0.155806,113188.0,REALIZABLE,-,realizable
485263289,LTL-Real/amba_decomposed_encode_4.tlsf,9158536,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.165463,0.168518,113188.0,REALIZABLE,-,realizable
485263864,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,ltlsynt realizability,29005,seqreallar,359217,complete,0.096789,0.0965911,113188.0,REALIZABLE,-,realizable
485263865,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,ltlsynt realizability,29005,seqrealsd,359218,complete,0.098438,0.0982721,113188.0,REALIZABLE,-,realizable
485263866,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,ltlsynt realizability,29005,seqrealds,359219,complete,0.099735,0.0996949,113188.0,REALIZABLE,-,realizable
485263867,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.244458,0.234977,113188.0,REALIZABLE,-,realizable
