revision	binary	backend	phase	repetition	cycles	perf_file
candidate	downset-bm-d128	vector_backed	build	1	404763943	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	build	2	404061318	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-build-r2.perf
candidate	downset-bm-d128	vector_backed	build	3	404918953	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-build-r3.perf
candidate	downset-bm-d128	vector_backed	build	4	403430761	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-build-r4.perf
candidate	downset-bm-d128	vector_backed	build	5	407551507	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-build-r5.perf
candidate	downset-bm-d128	vector_backed	query	1	176987764	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	query	2	177658539	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-query-r2.perf
candidate	downset-bm-d128	vector_backed	query	3	176322957	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-query-r3.perf
candidate	downset-bm-d128	vector_backed	query	4	176879663	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-query-r4.perf
candidate	downset-bm-d128	vector_backed	query	5	179437208	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-query-r5.perf
candidate	downset-bm-d128	vector_backed	transfer	1	17998398	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	2	17647303	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-transfer-r2.perf
candidate	downset-bm-d128	vector_backed	transfer	3	17260271	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-transfer-r3.perf
candidate	downset-bm-d128	vector_backed	transfer	4	17596685	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-transfer-r4.perf
candidate	downset-bm-d128	vector_backed	transfer	5	18107655	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-transfer-r5.perf
candidate	downset-bm-d128	vector_backed	intersection	1	159070308	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-intersection-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	2	159334866	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	intersection	3	159733597	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-intersection-r3.perf
candidate	downset-bm-d128	vector_backed	intersection	4	160293083	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-intersection-r4.perf
candidate	downset-bm-d128	vector_backed	intersection	5	159340820	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-intersection-r5.perf
candidate	downset-bm-d128	vector_backed	union	1	33176524	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-union-r1.perf
candidate	downset-bm-d128	vector_backed	union	2	32585530	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	union	3	33173542	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-union-r3.perf
candidate	downset-bm-d128	vector_backed	union	4	32597237	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-union-r4.perf
candidate	downset-bm-d128	vector_backed	union	5	32675231	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-union-r5.perf
candidate	downset-bm-d128	vector_backed	cpre	1	8578922549	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	downset-bm-d128	vector_backed	cpre	2	8566685154	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	3	8563808272	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-cpre-r3.perf
candidate	downset-bm-d128	vector_backed	cpre	4	8675712187	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-cpre-r4.perf
candidate	downset-bm-d128	vector_backed	cpre	5	8607918668	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-d128-vector_backed-cpre-r5.perf
candidate	simd-bm	vector_backed	simd	1	2488555	/tmp/posets-step1-stack-g2-20260811/candidate-simd-bm-vector_backed-simd-r1.perf
candidate	simd-bm	vector_backed	simd	2	2342387	/tmp/posets-step1-stack-g2-20260811/candidate-simd-bm-vector_backed-simd-r2.perf
candidate	simd-bm	vector_backed	simd	3	2464099	/tmp/posets-step1-stack-g2-20260811/candidate-simd-bm-vector_backed-simd-r3.perf
candidate	simd-bm	vector_backed	simd	4	2435870	/tmp/posets-step1-stack-g2-20260811/candidate-simd-bm-vector_backed-simd-r4.perf
candidate	simd-bm	vector_backed	simd	5	2656261	/tmp/posets-step1-stack-g2-20260811/candidate-simd-bm-vector_backed-simd-r5.perf
