instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
simple_arbiter_unreal12_5.ltl,both_ok,unreal,2,2,OK,0.021,OK,0.016,1.3
simple_arbiter_unreal12_6.ltl,both_ok,unreal,2,2,OK,0.022,OK,0.017,1.3
simple_arbiter_unreal12_7.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.016,1.5
simple_arbiter_unreal12_8.ltl,both_ok,unreal,2,2,OK,0.028,OK,0.016,1.7
simple_arbiter_unreal12_9.ltl,both_ok,unreal,2,2,OK,0.038,OK,0.016,2.4
simple_arbiter_unreal13_1.ltl,both_ok,unreal,3,3,OK,0.026,OK,0.017,1.5
simple_arbiter_unreal13_11.ltl,ltlsynt_only,unreal,3,3,TIMEOUT,17.058,OK,0.017,
simple_arbiter_unreal13_2.ltl,both_ok,unreal,3,3,OK,0.026,OK,0.017,1.5
simple_arbiter_unreal13_3.ltl,both_ok,unreal,3,3,OK,0.031,OK,0.017,1.8
simple_arbiter_unreal13_4.ltl,both_ok,unreal,3,3,OK,0.054,OK,0.017,3.2
simple_arbiter_unreal13_5.ltl,both_ok,unreal,3,3,OK,0.195,OK,0.017,11.2
simple_arbiter_unreal13_6.ltl,acacia_slow,unreal,3,3,OK,1.157,OK,0.017,67.1
simple_arbiter_unreal13_7.ltl,acacia_slow,unreal,3,3,OK,8.409,OK,0.017,496.1
simple_arbiter_unreal13_8.ltl,ltlsynt_only,unreal,3,3,TIMEOUT,17.058,OK,0.017,
simple_arbiter_unreal13_9.ltl,ltlsynt_only,unreal,3,3,TIMEOUT,17.061,OK,0.018,
simple_arbiter_unreal14_1.ltl,both_ok,unreal,4,4,OK,0.043,OK,0.018,2.4
simple_arbiter_unreal14_10.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.055,OK,0.018,
simple_arbiter_unreal14_12.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.055,OK,0.017,
simple_arbiter_unreal14_2.ltl,both_ok,unreal,4,4,OK,0.069,OK,0.017,4.1
simple_arbiter_unreal14_3.ltl,both_ok,unreal,4,4,OK,0.167,OK,0.018,9.4
simple_arbiter_unreal14_4.ltl,acacia_slow,unreal,4,4,OK,1.799,OK,0.017,103.4
simple_arbiter_unreal14_5.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.06,OK,0.017,
simple_arbiter_unreal14_6.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.017,
simple_arbiter_unreal14_7.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.055,OK,0.016,
simple_arbiter_unreal14_8.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.054,OK,0.017,
