family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
amba_decomposed_lock	amba_decomposed_lock_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	6	18	exit-0	REALIZABLE	0.011695	REALIZABLE	agree	VERIFIED	
amba_decomposed_lock	amba_decomposed_lock_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	7	20	exit-0	REALIZABLE	0.011649	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
amba_decomposed_lock	amba_decomposed_lock_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	21	exit-0	REALIZABLE	0.013684	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter	arbiter_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	4	11	exit-0	REALIZABLE	0.010959	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	4	11	exit-0	REALIZABLE	0.006094	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	9	24	exit-0	REALIZABLE	0.013054	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	9	24	exit-0	REALIZABLE	0.013610	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	13	35	exit-0	REALIZABLE	0.018384	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	13	35	exit-0	REALIZABLE	0.019521	REALIZABLE	agree	VERIFIED	
arbiter	arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	17	46	exit-0	REALIZABLE	0.038387	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter	arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	17	46	exit-0	REALIZABLE	0.046427	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_on_inpchange	arbiter_on_inpchange_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	4	21	exit-0	REALIZABLE	0.011995	REALIZABLE	agree	VERIFIED	
arbiter_on_inpchange	arbiter_on_inpchange_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	4	21	exit-0	REALIZABLE	0.011157	REALIZABLE	agree	VERIFIED	
arbiter_on_inpchange	arbiter_on_inpchange_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	9	44	exit-0	REALIZABLE	0.024132	REALIZABLE	agree	VERIFIED	
arbiter_on_inpchange	arbiter_on_inpchange_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	9	44	exit-0	REALIZABLE	0.021800	REALIZABLE	agree	VERIFIED	
arbiter_on_inpchange	arbiter_on_inpchange_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	13	65	exit-0	REALIZABLE	0.080577	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_on_inpchange	arbiter_on_inpchange_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	13	65	exit-0	REALIZABLE	0.083449	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_on_inpchange	arbiter_on_inpchange_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	17	86	exit-0	REALIZABLE	0.309376	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_on_inpchange	arbiter_on_inpchange_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	17	86	exit-0	REALIZABLE	0.352966	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_with_buffer	arbiter_with_buffer_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	1	4	exit-0	REALIZABLE	0.001059	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	1	4	exit-0	REALIZABLE	0.001015	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	3	10	exit-0	REALIZABLE	0.011374	REALIZABLE	agree	VERIFIED	
