source	target	path	descent	paths	nodes	ratio	bdd_nodes
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	detector_unreal16.ltl	real	input	65536	65536	1.0	1389305
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	detector_unreal16.ltl	real	output	131072	131072	1.0	1389305
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	detector_unreal16.ltl	unreal-formula	input	2	2	1.0	1499952
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	detector_unreal16.ltl	unreal-formula	output	131072	131072	1.0	1499952
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	full_arbiter_enc8.ltl	real	input	8	8	1.0	2108
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	full_arbiter_enc8.ltl	real	output	128	128	1.0	2108
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift3.ltl	real	input	8	8	1.0	4896
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift3.ltl	real	output	236	120	1.9666666666666666	4896
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift3.ltl	unreal-formula	input	29	18	1.6111111111111112	4664
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift3.ltl	unreal-formula	output	232	144	1.6111111111111112	4664
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift4.ltl	real	input	16	16	1.0	20941
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift4.ltl	real	output	480	297	1.6161616161616161	20941
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift4.ltl	unreal-formula	input	29	25	1.16	24392
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift4.ltl	unreal-formula	output	464	400	1.16	24392
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc3.ltl	real	input	8	8	1.0	10366
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc3.ltl	real	output	472	261	1.8084291187739463	10366
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc3.ltl	unreal-formula	input	54	32	1.6875	21607
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc3.ltl	unreal-formula	output	432	256	1.6875	21607
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc4.ltl	real	input	16	16	1.0	87092
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc4.ltl	real	output	1952	1134	1.7213403880070546	87092
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc4.ltl	unreal-formula	input	106	70	1.5142857142857142	311213
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	lift_unary_enc4.ltl	unreal-formula	output	1696	1120	1.5142857142857142	311213
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta14.ltl	real	input	49152	49152	1.0	1040074
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta14.ltl	real	output	98304	98304	1.0	1040074
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta14.ltl	unreal-formula	input	2	2	1.0	1050977
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta14.ltl	unreal-formula	output	98304	98304	1.0	1050977
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta16.ltl	real	input	196608	196608	1.0	4025782
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta16.ltl	real	output	393216	393216	1.0	4025782
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta16.ltl	unreal-formula	input	2	2	1.0	3854261
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	ltl2dba_theta16.ltl	unreal-formula	output	393216	393216	1.0	3854261
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	prioritized_arbiter_enc10.ltl	real	input	16	11	1.4545454545454546	2278
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	prioritized_arbiter_enc10.ltl	real	output	256	176	1.4545454545454546	2278
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	prioritized_arbiter_enc10.ltl	unreal-formula	input	16	16	1.0	3315610
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	prioritized_arbiter_enc10.ltl	unreal-formula	output	256	176	1.4545454545454546	3315610
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	prioritized_arbiter_enc8.ltl	real	input	8	8	1.0	1522
