cohort	instance	arm	c0_result	c0_seconds	c3_result	c3_seconds	delta_class	acacia_sha	binary_sha256_c0	binary_sha256_c3	preset	timestamp_utc	status
unreal-random	lilydemo01.ltl	unreal-only	UNREALIZABLE	0.022	UNREALIZABLE	0.020	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	load_balancer_unreal1_pb_3_3_pe_.ltl	unreal-only	UNREALIZABLE	0.056	UNREALIZABLE	0.052	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	load_balancer_unreal1_pb_3_8_pe_.ltl	unreal-only	UNREALIZABLE	0.422	UNREALIZABLE	0.460	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	load_balancer_unreal1_pb_4_12_pe_.ltl	unreal-only	TIMEOUT	17.089	TIMEOUT	17.085	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	load_balancer_unreal1_pb_6_3_pe_.ltl	unreal-only	TIMEOUT	17.054	TIMEOUT	17.053	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	load_balancer_unreal1_pb_6_4_pe_.ltl	unreal-only	TIMEOUT	17.092	TIMEOUT	17.092	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	ltl2dba_R_pb_3_pe_.ltl	unreal-only	UNREALIZABLE	0.030	UNREALIZABLE	0.043	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	ltl2dba_theta_pb_1_pe_.ltl	unreal-only	UNREALIZABLE	0.029	UNREALIZABLE	0.034	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	prioritized_arbiter_unreal1_pb_2_13_pe_.ltl	unreal-only	UNREALIZABLE	0.036	UNREALIZABLE	0.023	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	prioritized_arbiter_unreal1_pb_2_16_pe_.ltl	unreal-only	UNREALIZABLE	0.041	UNREALIZABLE	0.025	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
