family_key	solved_instance	solved_params_json	solved_seconds	unsolved_instance	unsolved_params_json	unsolved_failure	pair_kind	l1_distance
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_5_5_pe_.ltl	"{""n"":5,""u"":5}"	13.392795808031224	load_balancer_unreal1_pb_6_5_pe_.ltl	"{""n"":6,""u"":5}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_6_4_pe_.ltl	"{""n"":6,""u"":4}"	22.16016351489816	load_balancer_unreal1_pb_6_5_pe_.ltl	"{""n"":6,""u"":5}"	TIMEOUT	cover	0.06666666666666666666666666667
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal2.tlsf	load_balancer_unreal2_pb_5_pe_.ltl	"{""n"":5}"	11.358172932988964	load_balancer_unreal2_pb_6_pe_.ltl	"{""n"":6}"	TIMEOUT	cover	0.1666666666666666666666666667
param:tlsf/ltl2dba/parametric/ltl2dba_C2_unreal.tlsf	ltl2dba_C2_unreal_pb_16_pe_.ltl	"{""n"":16}"	17.8909107450163	ltl2dba_C2_unreal_pb_25_pe_.ltl	"{""n"":25}"	TIMEOUT	cover	0.09183673469387755102040816327
param:tlsf/ltl2dba/parametric/ltl2dba_R.tlsf	ltl2dba_R_pb_7_pe_.ltl	"{""n"":7}"	6.143375063082203	ltl2dba_R_pb_8_pe_.ltl	"{""n"":8}"	TIMEOUT	cover	0.07692307692307692307692307692
param:tlsf/ltl2dba/parametric/ltl2dba_theta.tlsf	ltl2dba_theta_pb_14_pe_.ltl	"{""n"":14}"	21.47702676896006	ltl2dba_theta_pb_16_pe_.ltl	"{""n"":16}"	TIMEOUT	cover	0.004008016032064128256513026052
param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints_pb_6_pe_.ltl	"{""n"":6}"	2.2578052220633253	simple_arbiter_with_hints_pb_8_pe_.ltl	"{""n"":8}"	TIMEOUT	cover	0.1538461538461538461538461538
param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter_pb_6_pe_.ltl	"{""n"":6}"	0.41450733493547887	prioritized_arbiter_pb_7_pe_.ltl	"{""n"":7}"	TIMEOUT	cover	0.09090909090909090909090909091
param:tlsf/prioritized_arbiter_log/parametric/prioritized_arbiter_enc.tlsf				prioritized_arbiter_enc_pb_8_pe_.ltl	"{""n"":8}"	TIMEOUT	none	
param:tlsf/prioritized_arbiter_unreal/parametric/prioritized_arbiter_unreal2.tlsf	prioritized_arbiter_unreal2_pb_10_pe_.ltl	"{""n"":10}"	0.02162167802453041	prioritized_arbiter_unreal2_pb_30_pe_.ltl	"{""n"":30}"	TIMEOUT	cover	0.2040816326530612244897959184
param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid_pb_2_2_pe_.ltl	"{""xN"":2,""yN"":2}"	0.028204491012729704	robot_grid_pb_3_3_pe_.ltl	"{""xN"":3,""yN"":3}"	TIMEOUT	cover	0.3095238095238095238095238096
param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid_pb_5_1_pe_.ltl	"{""xN"":5,""yN"":1}"	0.06563924893271178	robot_grid_pb_5_5_pe_.ltl	"{""xN"":5,""yN"":5}"	TIMEOUT	cover	0.5714285714285714285714285714
param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid_pb_5_1_pe_.ltl	"{""xN"":5,""yN"":1}"	0.06563924893271178	robot_grid_pb_6_1_pe_.ltl	"{""xN"":6,""yN"":1}"	TIMEOUT	cover	0.1666666666666666666666666667
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	round_robin_arbiter_pb_4_pe_.ltl	"{""n"":4}"	11.729962211102247	round_robin_arbiter_pb_5_pe_.ltl	"{""n"":5}"	TIMEOUT	cover	0.125
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_10_pe_.ltl	"{""n"":2,""u"":10}"	0.04547470202669501	round_robin_arbiter_unreal1_pb_3_10_pe_.ltl	"{""n"":3,""u"":10}"	TIMEOUT	cover	0.5
