rank	score	instance	tlsf_file	family_key	family_display	origin_kind	parameter_values_json	parameter_dimension	tlsf_bytes	expectation	unsolved_result	failure_kind	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind	score_breakdown
21	40	load_balancer_unreal1_pb_5_6_pe_.ltl	load_balancer_unreal1_pb_5_6_pe_.tlsf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1	param	"{""n"": 5, ""u"": 6}"	2	1871	unrealizable	TIMEOUT	time_limit	load_balancer_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	1.012876237044111	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
22	40	prioritized_arbiter_pb_7_pe_.ltl	prioritized_arbiter_pb_7_pe_.tlsf	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter	param	"{""n"": 7}"	1	1855	realizable	TIMEOUT	time_limit	prioritized_arbiter_pb_6_pe_.ltl	"{""n"":6}"	0.41450733493547887	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
23	40	prioritized_arbiter_unreal2_pb_30_pe_.ltl	prioritized_arbiter_unreal2_pb_30_pe_.tlsf	param:tlsf/prioritized_arbiter_unreal/parametric/prioritized_arbiter_unreal2.tlsf	prioritized_arbiter_unreal2	param	"{""n"": 30}"	1	2081	unrealizable	TIMEOUT	time_limit	prioritized_arbiter_unreal2_pb_10_pe_.ltl	"{""n"":10}"	0.02162167802453041	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
24	40	robot_grid_pb_3_3_pe_.ltl	robot_grid_pb_3_3_pe_.tlsf	param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid	param	"{""xN"": 3, ""yN"": 3}"	2	5795	none	TIMEOUT	time_limit	robot_grid_pb_2_2_pe_.ltl	"{""xN"":2,""yN"":2}"	0.028204491012729704	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
25	40	robot_grid_pb_6_1_pe_.ltl	robot_grid_pb_6_1_pe_.tlsf	param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid	param	"{""xN"": 6, ""yN"": 1}"	2	5799	realizable	TIMEOUT	time_limit	robot_grid_pb_5_1_pe_.ltl	"{""xN"":5,""yN"":1}"	0.06563924893271178	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
26	40	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	round_robin_arbiter_unreal1_pb_3_9_pe_.tlsf	param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1	param	"{""n"": 3, ""u"": 9}"	2	1989	unrealizable	TIMEOUT	time_limit	round_robin_arbiter_unreal1_pb_2_9_pe_.ltl	"{""n"":2,""u"":9}"	0.04020173498429358	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
27	40	round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	round_robin_arbiter_unreal1_pb_4_6_pe_.tlsf	param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1	param	"{""n"": 4, ""u"": 6}"	2	1989	unrealizable	TIMEOUT	time_limit	round_robin_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"":3,""u"":6}"	0.9435929029714316	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
28	40	round_robin_arbiter_unreal2_pb_5_pe_.ltl	round_robin_arbiter_unreal2_pb_5_pe_.tlsf	param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal2.tlsf	round_robin_arbiter_unreal2	param	"{""n"": 5}"	1	1976	unrealizable	TIMEOUT	time_limit	round_robin_arbiter_unreal2_pb_4_pe_.ltl	"{""n"":4}"	0.460778112988919	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
29	40	rw_arbiter_pb_4_pe_.ltl	rw_arbiter_pb_4_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter	param	"{""n"": 4}"	1	2123	none	TIMEOUT	time_limit	rw_arbiter_pb_3_pe_.ltl	"{""n"":3}"	0.7697880920022726	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
30	40	simple_arbiter_with_hints_pb_8_pe_.ltl	simple_arbiter_with_hints_pb_8_pe_.tlsf	param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints	param	"{""n"": 8}"	1	2330	none	TIMEOUT	time_limit	simple_arbiter_with_hints_pb_6_pe_.ltl	"{""n"":6}"	2.2578052220633253	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
